country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","05-10-2025 09:00:00",28.60909,77.0325413,PM10,99,159,129
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","05-10-2025 09:00:00",28.60909,77.0325413,NH3,1,4,2
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","05-10-2025 09:00:00",22.977134,72.553024,NH3,2,6,2
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","05-10-2025 09:00:00",23.002657,72.591912,CO,18,36,25
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","05-10-2025 09:00:00",23.020509,72.579261,PM2.5,25,112,51
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","05-10-2025 09:00:00",23.016834,72.625775,SO2,12,104,31
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","05-10-2025 09:00:00",23.041137,72.456691,CO,7,28,17
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","05-10-2025 09:00:00",23.023389,72.515201,PM2.5,22,46,34
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","05-10-2025 09:00:00",23.023389,72.515201,PM10,31,71,49
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","05-10-2025 09:00:00",23.023389,72.515201,NO2,10,44,19
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","05-10-2025 09:00:00",28.531346,77.190156,CO,14,66,36
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","05-10-2025 09:00:00",28.672342,77.315260,CO,36,80,59
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","05-10-2025 09:00:00",28.699793,77.165453,SO2,18,29,23
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","05-10-2025 09:00:00",28.563262,77.186937,PM2.5,78,315,186
India,Delhi,Delhi,"Rohini, Delhi - DPCC","05-10-2025 09:00:00",28.732528,77.119920,NO2,5,27,15
India,Delhi,Delhi,"Rohini, Delhi - DPCC","05-10-2025 09:00:00",28.732528,77.119920,CO,8,21,16
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","05-10-2025 09:00:00",28.567890,77.250515,PM10,72,156,119
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","05-10-2025 09:00:00",28.567890,77.250515,CO,2,71,14
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","05-10-2025 09:00:00",28.531346,77.190156,NO2,9,27,16
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","05-10-2025 09:00:00",28.531346,77.190156,NH3,3,5,4
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","05-10-2025 09:00:00",28.674045,77.131023,CO,32,87,51
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","05-10-2025 09:00:00",28.623763,77.287209,NO2,19,112,61
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","05-10-2025 09:00:00",28.6514781,77.1473105,CO,34,103,50
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","05-10-2025 09:00:00",28.593883,76.270653,NO2,9,22,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","05-10-2025 09:00:00",28.206800,76.799700,PM2.5,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","05-10-2025 09:00:00",28.206800,76.799700,NH3,NA,NA,NA
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","05-10-2025 09:00:00",28.376058,77.315741,PM10,86,92,89
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","05-10-2025 09:00:00",28.376058,77.315741,NO2,30,32,31
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","05-10-2025 09:00:00",23.076793,72.627874,NH3,1,1,1
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","05-10-2025 09:00:00",23.076793,72.627874,CO,5,24,16
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","05-10-2025 09:00:00",23.076793,72.627874,OZONE,1,41,4
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","05-10-2025 09:00:00",23.163798,72.677768,PM2.5,14,49,31
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","05-10-2025 09:00:00",29.695300,77.002700,NO2,12,12,12
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","05-10-2025 09:00:00",27.9002,76.9938,OZONE,16,16,16
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","05-10-2025 09:00:00",28.360699,76.936090,PM2.5,44,154,96
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","05-10-2025 09:00:00",23.221714,72.654328,OZONE,1,38,17
India,Gujarat,Surat,"Science Center, Surat - SMC","05-10-2025 09:00:00",21.170046,72.795405,NO2,13,24,18
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","05-10-2025 09:00:00",20.362421,72.918013,PM10,33,144,88
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","05-10-2025 09:00:00",28.6701,76.9254,CO,20,53,45
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","05-10-2025 09:00:00",28.3419248,77.319699,NH3,NA,NA,NA
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","05-10-2025 09:00:00",28.3419248,77.319699,CO,NA,NA,NA
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","05-10-2025 09:00:00",28.3419248,77.319699,OZONE,NA,NA,NA
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","05-10-2025 09:00:00",23.243639,72.68994,SO2,1,14,5
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","05-10-2025 09:00:00",28.4417,77.3217,PM2.5,40,43,42
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","05-10-2025 09:00:00",28.4501238,77.0263051,CO,5,5,5
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","05-10-2025 09:00:00",23.80569,86.44268,PM10,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","05-10-2025 09:00:00",23.80569,86.44268,NO2,91,155,96
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","05-10-2025 09:00:00",23.80569,86.44268,SO2,20,28,26
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","05-10-2025 09:00:00",23.707909,86.414670,PM10,NA,NA,NA
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","05-10-2025 09:00:00",23.707909,86.414670,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","05-10-2025 09:00:00",12.951913,77.539784,CO,22,152,31
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","05-10-2025 09:00:00",28.1485564,77.3320667,CO,28,28,28
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","05-10-2025 09:00:00",28.3153,76.9143,NO2,4,41,19
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","05-10-2025 09:00:00",28.3153,76.9143,CO,5,44,22
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","05-10-2025 09:00:00",12.951913,77.539784,OZONE,6,28,7
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","05-10-2025 09:00:00",13.029152,77.585901,PM10,14,107,33
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","05-10-2025 09:00:00",13.029152,77.585901,NO2,20,23,21
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","05-10-2025 09:00:00",30.943887,76.801991,PM10,59,219,136
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","05-10-2025 09:00:00",30.943887,76.801991,SO2,17,106,38
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","05-10-2025 09:00:00",34.066206,74.819820,SO2,3,4,3
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","05-10-2025 09:00:00",28.360699,76.936090,PM10,40,111,81
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","05-10-2025 09:00:00",28.060249,76.113115,SO2,10,12,11
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","05-10-2025 09:00:00",28.52123,76.37138,NO2,32,41,36
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","05-10-2025 09:00:00",14.816666,74.141003,SO2,26,28,27
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","05-10-2025 09:00:00",15.347630,76.181767,NO2,NA,NA,NA
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","05-10-2025 09:00:00",12.733409,77.298051,PM2.5,NA,NA,NA
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","05-10-2025 09:00:00",12.733409,77.298051,CO,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","05-10-2025 09:00:00",15.3714823,75.1160168,CO,10,16,14
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","05-10-2025 09:00:00",17.336318,76.847397,PM2.5,28,51,37
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","05-10-2025 09:00:00",17.336318,76.847397,PM10,37,72,48
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","05-10-2025 09:00:00",11.55358,76.55521,NH3,2,2,2
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","05-10-2025 09:00:00",13.428828,77.731418,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","05-10-2025 09:00:00",13.0270199,77.494094,CO,17,82,22
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","05-10-2025 09:00:00",12.921418,77.502466,NH3,5,6,5
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","05-10-2025 09:00:00",12.990328,77.5431385,CO,8,100,18
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","05-10-2025 09:00:00",13.0246342,77.5080115,PM10,43,200,79
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","05-10-2025 09:00:00",13.328028,75.797056,PM2.5,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","05-10-2025 09:00:00",13.328028,75.797056,OZONE,15,39,15
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","05-10-2025 09:00:00",17.336318,76.847397,CO,31,64,33
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","05-10-2025 09:00:00",14.475800,75.905200,NO2,12,25,17
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","05-10-2025 09:00:00",14.816666,74.141003,PM10,3,31,13
